L* background,L* Ref,a* Ref,b* Ref,reference Color ID,Test Direction,L* RefFinal,a* RefFinal,b* RefFinal,L* TestFinal,a* TestFinal,b* TestFinal,Observer ID
50,60,-10.60660172,10.60660172,2,2,60,-10.60660172,10.60660172,60,-10.60660172,41.60660172,1
30,60,-10.60660172,10.60660172,2,5,60,-10.60660172,10.60660172,60,5.656854249,-5.656854249,1
30,50,10.60660172,10.60660172,1,3,50,10.60660172,10.60660172,50,-7.393398282,10.60660172,1
80,50,10.60660172,10.60660172,1,6,50,10.60660172,10.60660172,50,42.42640687,42.42640687,1
30,40,0,-15,4,7,40,0,-15,77,0,-15,1
30,50,10.60660172,10.60660172,1,1,50,10.60660172,10.60660172,50,41.60660172,10.60660172,1
80,50,35.35533906,35.35533906,6,7,45,35.35533906,35.35533906,71,35.35533906,35.35533906,1
50,70,0,15,3,7,61,0,15,96,0,15,1
30,60,-10.60660172,10.60660172,2,8,60,-10.60660172,10.60660172,33,-10.60660172,10.60660172,1
30,50,10.60660172,10.60660172,1,5,50,10.60660172,10.60660172,50,31.81980515,-10.60660172,1
80,50,35.35533906,35.35533906,6,8,51,35.35533906,35.35533906,29,35.35533906,35.35533906,1
50,70,0,15,3,8,70,0,15,50,0,15,1
80,40,0,-15,4,1,40,0,-15,40,25,-15,1
30,60,-10.60660172,10.60660172,2,3,60,-1.606601718,10.60660172,60,-40.60660172,10.60660172,1
80,60,-10.60660172,10.60660172,2,3,60,-4.606601718,10.60660172,60,-40.60660172,10.60660172,1
50,60,-10.60660172,10.60660172,2,1,60,-10.60660172,10.60660172,60,10.39339828,10.60660172,1
80,60,-10.60660172,10.60660172,2,7,60,-10.60660172,10.60660172,71,-10.60660172,10.60660172,1
30,50,35.35533906,35.35533906,6,4,50,35.35533906,35.35533906,50,35.35533906,-0.644660941,1
50,50,35.35533906,35.35533906,6,1,50,1.355339059,35.35533906,50,80.35533906,35.35533906,1
30,40,0,-15,4,6,40,0,-15,40,16.26345597,1.263455967,1
80,50,35.35533906,35.35533906,6,6,50,28.99137803,28.99137803,50,65.76093065,65.76093065,1
50,50,10.60660172,10.60660172,1,6,50,-2.828427125,-2.828427125,50,65.76093065,65.76093065,1
30,60,-10.60660172,10.60660172,2,6,60,-10.60660172,10.60660172,60,3.535533906,24.74873734,1
50,50,35.35533906,35.35533906,6,7,50,35.35533906,35.35533906,57,35.35533906,35.35533906,1
30,50,35.35533906,35.35533906,6,8,50,35.35533906,35.35533906,41,35.35533906,35.35533906,1
50,50,10.60660172,10.60660172,1,4,50,10.60660172,10.60660172,50,10.60660172,1.606601718,1
50,95,0,0,5,12,95,0,0,81.56497116,0,13.43502884,1
50,40,0,-15,4,8,41,0,-15,9,0,-15,1
50,40,0,-15,4,7,40,0,-15,49,0,-15,1
80,60,-10.60660172,10.60660172,2,2,60,-10.60660172,10.60660172,60,-10.60660172,17.60660172,1
50,60,-10.60660172,10.60660172,2,7,60,-10.60660172,10.60660172,69,-10.60660172,10.60660172,1
50,95,0,0,5,8,95,0,0,48,0,0,1
50,50,35.35533906,35.35533906,6,2,50,35.35533906,2.355339059,50,35.35533906,61.35533906,1
80,70,0,15,3,7,70,0,15,80,0,15,1
50,95,0,0,5,10,95,0,0,68.12994231,26.87005769,0,1
80,40,0,-15,4,5,40,-12.02081528,-2.97918472,40,80.61017306,-95.61017306,1
30,95,0,0,5,12,95,0,0,82.27207794,0,12.72792206,1
80,70,0,15,3,8,84,0,15,17,0,15,1
30,60,-10.60660172,10.60660172,2,4,60,-10.60660172,10.60660172,60,-10.60660172,-0.393398282,1
30,60,-10.60660172,10.60660172,2,7,60,-10.60660172,10.60660172,91,-10.60660172,10.60660172,1
30,40,0,-15,4,4,40,0,8,40,0,-33,1
50,40,0,-15,4,5,40,-8.485281374,-6.514718626,40,80.61017306,-95.61017306,1
50,95,0,0,5,9,95,0,0,78.02943725,-16.97056275,0,1
50,40,0,-15,4,3,40,18,-15,40,-15,-15,1
50,70,0,15,3,1,70,0,15,70,25,15,1
50,40,0,-15,4,1,40,0,-15,40,24,-15,1
80,50,10.60660172,10.60660172,1,4,50,10.60660172,10.60660172,50,10.60660172,-12.39339828,1
80,50,35.35533906,35.35533906,6,2,50,35.35533906,-6.644660941,50,35.35533906,61.35533906,1
80,50,35.35533906,35.35533906,6,4,50,35.35533906,35.35533906,50,35.35533906,-16.64466094,1
80,50,10.60660172,10.60660172,1,7,50,10.60660172,10.60660172,60,10.60660172,10.60660172,1
80,70,0,15,3,1,70,0,15,70,27,15,1
80,70,0,15,3,1,70,0,15,70,30,15,1
80,50,35.35533906,35.35533906,6,7,50,35.35533906,35.35533906,68,35.35533906,35.35533906,1
50,50,10.60660172,10.60660172,1,6,50,-3.535533906,-3.535533906,50,65.76093065,65.76093065,1
30,95,0,0,5,9,95,0,0,82.97918472,-12.02081528,0,1
30,50,10.60660172,10.60660172,1,7,50,10.60660172,10.60660172,63,10.60660172,10.60660172,1
50,50,35.35533906,35.35533906,6,4,50,35.35533906,35.35533906,50,35.35533906,3.355339059,1
50,50,10.60660172,10.60660172,1,2,50,10.60660172,-11.39339828,50,10.60660172,58.60660172,1
80,60,-10.60660172,10.60660172,2,4,60,-10.60660172,10.60660172,60,-10.60660172,-8.393398282,1
50,40,0,-15,4,8,40,0,-15,37,0,-15,1
50,60,-10.60660172,10.60660172,2,8,60,-10.60660172,10.60660172,50,-10.60660172,10.60660172,1
50,50,35.35533906,35.35533906,6,4,50,35.35533906,35.35533906,50,35.35533906,1.355339059,1
80,60,-10.60660172,10.60660172,2,5,60,-10.60660172,10.60660172,60,3.535533906,-3.535533906,1
30,50,35.35533906,35.35533906,6,1,50,7.355339059,35.35533906,50,80.35533906,35.35533906,1
80,60,-10.60660172,10.60660172,2,5,60,-10.60660172,10.60660172,60,2.121320344,-2.121320344,1
80,50,35.35533906,35.35533906,6,5,50,35.35533906,35.35533906,50,72.83199846,-2.121320344,1
80,60,-10.60660172,10.60660172,2,2,60,-10.60660172,2.606601718,60,-10.60660172,65.60660172,1
30,70,0,15,3,6,70,0,15,70,18.38477631,33.38477631,1
50,60,-10.60660172,10.60660172,2,5,60,-10.60660172,10.60660172,60,6.363961031,-6.363961031,1
50,40,0,-15,4,7,40,0,-15,47,0,-15,1
50,40,0,-15,4,1,40,0,-15,40,29,-15,1
30,50,10.60660172,10.60660172,1,8,50,10.60660172,10.60660172,32,10.60660172,10.60660172,1
50,95,0,0,5,12,95,0,0,75.20101013,0,19.79898987,1
30,95,0,0,5,8,95,0,0,29,0,0,1
80,95,0,0,5,10,95,0,0,83.6862915,11.3137085,0,1
50,50,10.60660172,10.60660172,1,7,50,10.60660172,10.60660172,61,10.60660172,10.60660172,1
30,70,0,15,3,8,70,0,15,37,0,15,1
50,70,0,15,3,6,70,0,15,70,26.87005769,41.87005769,1
50,50,35.35533906,35.35533906,6,7,50,35.35533906,35.35533906,66,35.35533906,35.35533906,1
30,50,35.35533906,35.35533906,6,5,50,35.35533906,35.35533906,50,58.68986284,12.02081528,1
30,40,0,-15,4,3,40,31,-15,40,-15,-15,1
30,40,0,-15,4,4,40,0,8,40,0,-33,1
80,95,0,0,5,9,95,0,0,82.97918472,-12.02081528,0,1
80,50,35.35533906,35.35533906,6,1,50,4.355339059,35.35533906,50,80.35533906,35.35533906,1
30,60,-10.60660172,10.60660172,2,2,60,-10.60660172,10.60660172,60,-10.60660172,41.60660172,1
30,40,0,-15,4,5,40,-13.43502884,-1.564971157,40,80.61017306,-95.61017306,1
80,50,10.60660172,10.60660172,1,5,50,10.60660172,10.60660172,50,55.15432893,-33.9411255,1
30,60,-10.60660172,10.60660172,2,8,60,-10.60660172,10.60660172,44,-10.60660172,10.60660172,1
30,70,0,15,3,1,70,0,15,70,28,15,1
80,60,-10.60660172,10.60660172,2,6,60,-10.60660172,10.60660172,60,-2.828427125,18.38477631,1
50,50,35.35533906,35.35533906,6,6,50,-7.071067812,-7.071067812,50,65.76093065,65.76093065,1
80,50,35.35533906,35.35533906,6,4,50,35.35533906,35.35533906,50,35.35533906,-9.644660941,1
50,50,35.35533906,35.35533906,6,3,50,35.35533906,35.35533906,50,-3.644660941,35.35533906,1
50,60,-10.60660172,10.60660172,2,6,60,-10.60660172,10.60660172,60,0.707106781,21.92031022,1
30,50,35.35533906,35.35533906,6,4,50,35.35533906,35.35533906,50,35.35533906,14.35533906,1
80,50,10.60660172,10.60660172,1,2,50,10.60660172,7.606601718,50,10.60660172,58.60660172,1
80,40,0,-15,4,6,40,0,-15,40,20.50609665,5.506096654,1
50,50,10.60660172,10.60660172,1,2,50,10.60660172,-5.393398282,50,10.60660172,58.60660172,1
50,60,-10.60660172,10.60660172,2,7,60,-10.60660172,10.60660172,91,-10.60660172,10.60660172,1
80,70,0,15,3,5,70,0,15,70,18.38477631,-3.384776311,1
30,50,35.35533906,35.35533906,6,8,50,35.35533906,35.35533906,37,35.35533906,35.35533906,1
80,40,0,-15,4,1,40,0,-15,40,36,-15,1
80,50,10.60660172,10.60660172,1,8,50,10.60660172,10.60660172,24,10.60660172,10.60660172,1
50,95,0,0,5,9,95,0,0,80.85786438,-14.14213562,0,1
50,95,0,0,5,11,95,0,0,72.372583,0,-22.627417,1
30,60,-10.60660172,10.60660172,2,6,60,-10.60660172,10.60660172,60,4.242640687,25.45584412,1
50,60,-10.60660172,10.60660172,2,5,60,-10.60660172,10.60660172,60,4.242640687,-4.242640687,1
80,70,0,15,3,6,70,0,15,70,7.778174593,22.77817459,1
80,40,0,-15,4,6,40,0,-15,40,20.50609665,5.506096654,1
30,70,0,15,3,5,70,0,15,70,29.69848481,-14.69848481,1
50,50,10.60660172,10.60660172,1,1,50,10.60660172,10.60660172,50,44.60660172,10.60660172,1
30,70,0,15,3,4,70,0,15,70,0,-8,1
50,60,-10.60660172,10.60660172,2,3,60,-3.606601718,10.60660172,60,-40.60660172,10.60660172,1
50,70,0,15,3,2,70,0,15,70,0,43,1
80,60,-10.60660172,10.60660172,2,7,60,-10.60660172,10.60660172,78,-10.60660172,10.60660172,1
50,70,0,15,3,1,70,0,15,70,33,15,1
50,70,0,15,3,2,70,0,15,70,0,30,1
30,60,-10.60660172,10.60660172,2,1,60,-10.60660172,10.60660172,60,12.39339828,10.60660172,1
80,40,0,-15,4,4,40,0,0,40,0,-33,1
80,60,-10.60660172,10.60660172,2,6,60,-10.60660172,10.60660172,60,-4.242640687,16.97056275,1
80,50,10.60660172,10.60660172,1,3,50,10.60660172,10.60660172,50,-8.393398282,10.60660172,1
50,70,0,15,3,8,70,0,15,51,0,15,1
80,40,0,-15,4,3,40,30,-15,40,-15,-15,1
80,40,0,-15,4,3,40,23,-15,40,-15,-15,1
30,50,10.60660172,10.60660172,1,8,50,10.60660172,10.60660172,40,10.60660172,10.60660172,1
50,50,10.60660172,10.60660172,1,1,50,-5.393398282,10.60660172,50,80.60660172,10.60660172,1
50,70,0,15,3,6,70,0,15,70,15.55634919,30.55634919,1
50,50,35.35533906,35.35533906,6,2,50,35.35533906,-0.644660941,50,35.35533906,61.35533906,1
30,50,10.60660172,10.60660172,1,4,50,10.60660172,10.60660172,50,10.60660172,2.606601718,1
50,40,0,-15,4,4,40,0,-2,40,0,-33,1
50,50,35.35533906,35.35533906,6,8,50,35.35533906,35.35533906,36,35.35533906,35.35533906,1
80,50,10.60660172,10.60660172,1,7,50,10.60660172,10.60660172,61,10.60660172,10.60660172,1
30,95,0,0,5,10,95,0,0,69.54415588,25.45584412,0,1
80,70,0,15,3,7,70,0,15,79,0,15,1
30,50,10.60660172,10.60660172,1,3,50,10.60660172,10.60660172,50,1.606601718,10.60660172,1
50,50,35.35533906,35.35533906,6,1,50,-0.644660941,35.35533906,50,80.35533906,35.35533906,1
50,60,-10.60660172,10.60660172,2,6,60,-10.60660172,10.60660172,60,0.707106781,21.92031022,1
50,40,0,-15,4,6,40,0,-15,40,7.778174593,-7.221825407,1
80,50,10.60660172,10.60660172,1,6,50,10.60660172,10.60660172,50,47.37615434,47.37615434,1
80,60,-10.60660172,10.60660172,2,8,60,-10.60660172,10.60660172,25,-10.60660172,10.60660172,1
80,50,10.60660172,10.60660172,1,8,50,10.60660172,10.60660172,44,10.60660172,10.60660172,1
50,95,0,0,5,10,95,0,0,83.6862915,11.3137085,0,1
30,50,10.60660172,10.60660172,1,7,50,10.60660172,10.60660172,73,10.60660172,10.60660172,1
50,40,0,-15,4,5,40,-11.3137085,-3.686291501,40,80.61017306,-95.61017306,1
80,40,0,-15,4,7,40,0,-15,53,0,-15,1
50,50,10.60660172,10.60660172,1,8,52,10.60660172,10.60660172,15,10.60660172,10.60660172,1
30,50,10.60660172,10.60660172,1,5,50,10.60660172,10.60660172,50,29.69848481,-8.485281374,1
50,70,0,15,3,5,70,0,15,70,28.28427125,-13.28427125,1
50,50,10.60660172,10.60660172,1,3,50,10.60660172,10.60660172,50,-13.39339828,10.60660172,1
30,50,35.35533906,35.35533906,6,7,50,35.35533906,35.35533906,69,35.35533906,35.35533906,1
30,50,35.35533906,35.35533906,6,5,50,35.35533906,35.35533906,50,65.05382387,5.656854249,1
80,70,0,15,3,2,70,0,15,70,0,49,1
50,50,10.60660172,10.60660172,1,8,50,10.60660172,10.60660172,39,10.60660172,10.60660172,1
30,40,0,-15,4,5,40,-10.60660172,-4.393398282,40,80.61017306,-95.61017306,1
30,70,0,15,3,5,70,0,15,70,33.23401872,-18.23401872,1
30,40,0,-15,4,1,40,0,-15,40,26,-15,1
80,40,0,-15,4,8,40,0,-15,18,0,-15,1
50,50,10.60660172,10.60660172,1,7,50,10.60660172,10.60660172,69,10.60660172,10.60660172,1
80,50,35.35533906,35.35533906,6,6,50,13.43502884,13.43502884,50,65.76093065,65.76093065,1
50,50,10.60660172,10.60660172,1,5,50,10.60660172,10.60660172,50,24.04163056,-2.828427125,1
80,70,0,15,3,3,70,0,15,70,-13,15,1
30,95,0,0,5,8,95,0,0,28,0,0,1
50,70,0,15,3,3,70,0,15,70,-22,15,1
30,40,0,-15,4,7,40,0,-15,46,0,-15,1
50,50,10.60660172,10.60660172,1,4,50,10.60660172,10.60660172,50,10.60660172,-9.393398282,1
80,60,-10.60660172,10.60660172,2,1,60,-10.60660172,10.60660172,60,21.39339828,10.60660172,1
80,50,35.35533906,35.35533906,6,8,50,35.35533906,35.35533906,45,35.35533906,35.35533906,1
80,70,0,15,3,5,70,0,15,70,24.74873734,-9.748737342,1
30,50,35.35533906,35.35533906,6,6,50,24.04163056,24.04163056,50,65.76093065,65.76093065,1
30,40,0,-15,4,3,40,21,-15,40,-15,-15,1
50,50,10.60660172,10.60660172,1,3,50,10.60660172,10.60660172,50,-4.393398282,10.60660172,1
80,70,0,15,3,4,70,0,15,70,0,-14,1
50,60,-10.60660172,10.60660172,2,8,60,-10.60660172,10.60660172,53,-10.60660172,10.60660172,1
50,50,35.35533906,35.35533906,6,6,50,0.707106781,0.707106781,50,65.76093065,65.76093065,1
50,50,10.60660172,10.60660172,1,5,50,10.60660172,10.60660172,50,19.09188309,2.121320344,1
50,50,35.35533906,35.35533906,6,5,50,35.35533906,35.35533906,50,56.56854249,14.14213562,1
30,40,0,-15,4,2,40,0,-15,40,0,-1,1
30,50,35.35533906,35.35533906,6,6,50,26.87005769,26.87005769,50,65.76093065,65.76093065,1
80,95,0,0,5,10,95,0,0,78.02943725,16.97056275,0,1
50,60,-10.60660172,10.60660172,2,4,60,-10.60660172,10.60660172,60,-10.60660172,-4.393398282,1
80,50,10.60660172,10.60660172,1,4,50,10.60660172,10.60660172,50,10.60660172,-7.393398282,1
50,60,-10.60660172,10.60660172,2,1,60,-10.60660172,10.60660172,60,9.393398282,10.60660172,1
30,40,0,-15,4,2,40,0,-15,40,0,5,1
30,70,0,15,3,3,70,0,15,70,-26,15,1
80,60,-10.60660172,10.60660172,2,4,60,-10.60660172,10.60660172,60,-10.60660172,-30.39339828,1
50,70,0,15,3,4,70,0,15,70,0,2,1
30,50,35.35533906,35.35533906,6,7,50,35.35533906,35.35533906,64,35.35533906,35.35533906,1
80,50,35.35533906,35.35533906,6,2,50,35.35533906,8.355339059,50,35.35533906,61.35533906,1
80,50,35.35533906,35.35533906,6,3,50,35.35533906,35.35533906,50,5.355339059,35.35533906,1
30,60,-10.60660172,10.60660172,2,7,60,-10.60660172,10.60660172,91,-10.60660172,10.60660172,1
80,70,0,15,3,2,70,0,2,70,0,75,1
50,70,0,15,3,7,70,0,15,73,0,15,1
50,40,0,-15,4,4,40,0,1,40,0,-33,1
30,50,10.60660172,10.60660172,1,1,50,10.60660172,10.60660172,50,40.60660172,10.60660172,1
80,95,0,0,5,11,95,0,0,82.27207794,0,-12.72792206,1
50,70,0,15,3,3,70,2,15,70,-47,15,1
30,50,35.35533906,35.35533906,6,1,50,27.35533906,35.35533906,50,80.35533906,35.35533906,1
30,95,0,0,5,12,95,0,0,78.02943725,0,16.97056275,1
80,40,0,-15,4,2,40,0,-15,40,0,9,1
50,95,0,0,5,8,95,0,0,50,0,0,1
50,40,0,-15,4,2,40,0,-15,40,0,6,1
50,95,0,0,5,11,95,0,0,76.61522369,0,-18.38477631,1
30,70,0,15,3,7,70,0,15,96,0,15,1
30,50,10.60660172,10.60660172,1,6,50,10.60660172,10.60660172,50,27.57716447,27.57716447,1
80,95,0,0,5,12,95,0,0,81.56497116,0,13.43502884,1
30,50,10.60660172,10.60660172,1,2,50,10.60660172,10.60660172,50,10.60660172,41.60660172,1
50,40,0,-15,4,3,40,30,-15,40,-15,-15,1
80,95,0,0,5,8,95,0,0,81,0,0,1
50,70,0,15,3,4,70,0,15,70,0,-3,1
30,70,0,15,3,7,70,0,15,86,0,15,1
30,70,0,15,3,2,70,0,15,70,0,31,1
50,50,35.35533906,35.35533906,6,8,50,35.35533906,35.35533906,49,35.35533906,35.35533906,1
30,50,10.60660172,10.60660172,1,2,50,10.60660172,10.60660172,50,10.60660172,34.60660172,1
80,50,35.35533906,35.35533906,6,5,50,35.35533906,35.35533906,50,65.76093065,4.949747468,1
80,50,35.35533906,35.35533906,6,1,50,23.35533906,35.35533906,50,80.35533906,35.35533906,1
80,70,0,15,3,8,81,0,15,17,0,15,1
30,50,10.60660172,10.60660172,1,4,50,10.60660172,10.60660172,50,10.60660172,-15.39339828,1
30,70,0,15,3,2,70,0,15,70,0,30,1
50,50,35.35533906,35.35533906,6,3,50,35.35533906,35.35533906,50,3.355339059,35.35533906,1
50,50,35.35533906,35.35533906,6,5,50,35.35533906,35.35533906,50,57.98275606,12.72792206,1
80,70,0,15,3,4,70,0,15,70,0,1,1
50,40,0,-15,4,6,40,0,-15,40,12.72792206,-2.272077939,1
50,60,-10.60660172,10.60660172,2,3,60,25.39339828,10.60660172,60,-40.60660172,10.60660172,1
30,70,0,15,3,8,70,0,15,63,0,15,1
80,50,10.60660172,10.60660172,1,5,50,10.60660172,10.60660172,50,41.01219331,-19.79898987,1
50,40,0,-15,4,2,40,0,-15,40,0,1,1
30,40,0,-15,4,8,40,0,-15,31,0,-15,1
30,70,0,15,3,3,70,0,15,70,-19,15,1
30,50,35.35533906,35.35533906,6,2,50,35.35533906,22.35533906,50,35.35533906,61.35533906,1
30,95,0,0,5,9,95,0,0,73.78679656,-21.21320344,0,1
30,60,-10.60660172,10.60660172,2,5,60,-10.60660172,10.60660172,60,14.14213562,-14.14213562,1
30,60,-10.60660172,10.60660172,2,1,60,-10.60660172,10.60660172,60,34.39339828,10.60660172,1
50,70,0,15,3,5,70,0,15,70,28.28427125,-13.28427125,1
30,70,0,15,3,4,70,0,15,70,0,-8,1
50,60,-10.60660172,10.60660172,2,4,60,-10.60660172,10.60660172,60,-10.60660172,-13.39339828,1
80,40,0,-15,4,8,69,0,-15,9,0,-15,1
80,40,0,-15,4,2,40,0,-15,40,0,15,1
30,60,-10.60660172,10.60660172,2,2,60,-10.60660172,10.60660172,60,-10.60660172,29.60660172,1
30,60,-10.60660172,10.60660172,2,4,60,-10.60660172,10.60660172,60,-10.60660172,-16.39339828,1
80,50,10.60660172,10.60660172,1,1,50,10.60660172,10.60660172,50,62.60660172,10.60660172,1
80,95,0,0,5,11,95,0,0,80.85786438,0,-14.14213562,1
80,40,0,-15,4,4,40,0,-1,40,0,-33,1
80,95,0,0,5,9,95,0,0,75.90811691,-19.09188309,0,2
80,60,-10.60660172,10.60660172,2,1,60,-10.60660172,10.60660172,60,24.39339828,10.60660172,2
30,50,35.35533906,35.35533906,6,2,50,35.35533906,-20.64466094,50,35.35533906,61.35533906,2
80,70,0,15,3,3,70,25,15,70,-47,15,2
30,40,0,-15,4,8,Inf,Inf,Inf,Inf,Inf,Inf,2
30,50,35.35533906,35.35533906,6,3,50,35.35533906,35.35533906,50,-13.64466094,35.35533906,2
30,70,0,15,3,6,70,0,15,70,15.55634919,30.55634919,2
80,95,0,0,5,12,95.70710678,0,-0.707106781,43.38120497,0,51.61879503,2
30,50,35.35533906,35.35533906,6,3,50,35.35533906,35.35533906,50,-5.644660941,35.35533906,2
30,95,0,0,5,10,95,0,0,55.40202025,39.59797975,0,2
30,70,0,15,3,1,70,0,15,70,18,15,2
80,50,10.60660172,10.60660172,1,2,50,10.60660172,10.60660172,50,10.60660172,58.60660172,2
30,95,0,0,5,11,95,0,0,74.49390335,0,-20.50609665,2
80,50,10.60660172,10.60660172,1,1,50,-0.393398282,10.60660172,50,80.60660172,10.60660172,2
30,60,-10.60660172,10.60660172,2,3,60,21.39339828,10.60660172,60,-40.60660172,10.60660172,2
80,40,0,-15,4,5,40,0,-15,40,34.64823228,-49.64823228,2
50,60,-10.60660172,10.60660172,2,2,60,-10.60660172,-13.39339828,60,-10.60660172,65.60660172,2
80,70,0,15,3,6,70,-10.60660172,4.393398282,70,34.64823228,49.64823228,2
80,95,0,0,5,8,95,0,0,54,0,0,2
80,60,-10.60660172,10.60660172,2,8,93,-10.60660172,10.60660172,15,-10.60660172,10.60660172,2
30,40,0,-15,4,6,40,-1.414213562,-16.41421356,40,67.17514421,52.17514421,2
30,95,0,0,5,11,Inf,Inf,Inf,Inf,Inf,Inf,2
30,50,10.60660172,10.60660172,1,6,50,10.60660172,10.60660172,50,43.13351365,43.13351365,2
80,50,35.35533906,35.35533906,6,3,50,35.35533906,35.35533906,50,-9.644660941,35.35533906,2
80,40,0,-15,4,7,40,0,-15,71,0,-15,2
80,50,10.60660172,10.60660172,1,3,50,10.60660172,10.60660172,50,-10.39339828,10.60660172,2
30,40,0,-15,4,1,40,-10,-15,40,70,-15,2
80,60,-10.60660172,10.60660172,2,3,60,21.39339828,10.60660172,60,-40.60660172,10.60660172,2
50,60,-10.60660172,10.60660172,2,2,60,-10.60660172,9.606601718,60,-10.60660172,65.60660172,2
30,60,-10.60660172,10.60660172,2,5,60,-10.60660172,10.60660172,60,14.14213562,-14.14213562,2
30,50,10.60660172,10.60660172,1,3,50,10.60660172,10.60660172,50,-15.39339828,10.60660172,2
80,50,10.60660172,10.60660172,1,6,50,-0.707106781,-0.707106781,50,65.76093065,65.76093065,2
30,40,0,-15,4,7,24,0,-15,90,0,-15,2
30,50,10.60660172,10.60660172,1,1,50,10.60660172,10.60660172,50,55.60660172,10.60660172,2
80,50,35.35533906,35.35533906,6,7,Inf,Inf,Inf,Inf,Inf,Inf,2
50,70,0,15,3,7,49,0,15,96,0,15,2
30,60,-10.60660172,10.60660172,2,8,60,-10.60660172,10.60660172,31,-10.60660172,10.60660172,2
30,50,10.60660172,10.60660172,1,5,50,-4.242640687,25.45584412,50,89.09545443,-67.88225099,2
80,50,35.35533906,35.35533906,6,8,Inf,Inf,Inf,Inf,Inf,Inf,2
50,70,0,15,3,8,70,0,15,50,0,15,2
80,40,0,-15,4,1,40,0,-15,40,45,-15,2
30,60,-10.60660172,10.60660172,2,3,60,18.39339828,10.60660172,60,-40.60660172,10.60660172,2
80,60,-10.60660172,10.60660172,2,3,60,24.39339828,10.60660172,60,-40.60660172,10.60660172,2
50,60,-10.60660172,10.60660172,2,1,60,-10.60660172,10.60660172,60,20.39339828,10.60660172,2
80,60,-10.60660172,10.60660172,2,7,37,-10.60660172,10.60660172,98,-10.60660172,10.60660172,2
30,50,35.35533906,35.35533906,6,4,50,35.35533906,35.35533906,50,35.35533906,-45.64466094,2
50,50,35.35533906,35.35533906,6,1,50,5.355339059,35.35533906,50,80.35533906,35.35533906,2
30,40,0,-15,4,6,40,0,-15,40,28.28427125,13.28427125,2
80,50,35.35533906,35.35533906,6,6,50,2.828427125,2.828427125,50,65.76093065,65.76093065,2
50,50,10.60660172,10.60660172,1,6,50,-17.67766953,-17.67766953,50,65.76093065,65.76093065,2
30,60,-10.60660172,10.60660172,2,6,60,-10.60660172,10.60660172,60,17.67766953,38.89087297,2
50,50,35.35533906,35.35533906,6,7,Inf,Inf,Inf,Inf,Inf,Inf,2
30,50,35.35533906,35.35533906,6,8,Inf,Inf,Inf,Inf,Inf,Inf,2
50,50,10.60660172,10.60660172,1,4,50,10.60660172,10.60660172,50,10.60660172,-25.39339828,2
50,95,0,0,5,12,95,0,0,45.50252532,0,49.49747468,2
50,40,0,-15,4,8,56,0,-15,9,0,-15,2
50,40,0,-15,4,7,40,0,-15,65,0,-15,2
80,60,-10.60660172,10.60660172,2,2,60,-10.60660172,-5.393398282,60,-10.60660172,65.60660172,2
