L* background,L* Ref,a* Ref,b* Ref,reference Color ID,Test Direction,L* RefFinal,a* RefFinal,b* RefFinal,L* TestFinal,a* TestFinal,b* TestFinal,Observer ID
80,95,0,0,5,9,95,0,0,82.97918472,-12.02081528,0,1
80,60,-10.60660172,10.60660172,2,1,60,-10.60660172,10.60660172,60,3.393398282,10.60660172,1
30,50,35.35533906,35.35533906,6,2,50,35.35533906,24.35533906,50,35.35533906,61.35533906,1
80,70,0,15,3,3,70,0,15,70,-10,15,1
30,40,0,-15,4,8,40,0,-15,34,0,-15,1
30,50,35.35533906,35.35533906,6,3,50,35.35533906,35.35533906,50,0.355339059,35.35533906,1
30,70,0,15,3,6,70,0,15,70,14.8492424,29.8492424,1
80,95,0,0,5,12,95,0,0,88.63603897,0,6.363961031,1
30,50,35.35533906,35.35533906,6,3,50,35.35533906,35.35533906,50,12.35533906,35.35533906,1
30,95,0,0,5,10,95,0,0,67.42283553,27.57716447,0,1
30,70,0,15,3,1,70,0,15,70,1,15,1
80,50,10.60660172,10.60660172,1,2,50,10.60660172,0.606601718,50,10.60660172,58.60660172,1
30,95,0,0,5,11,95,0,0,70.95836944,0,-24.04163056,1
80,50,10.60660172,10.60660172,1,1,50,10.60660172,10.60660172,50,26.60660172,10.60660172,1
30,60,-10.60660172,10.60660172,2,3,60,9.393398282,10.60660172,60,-40.60660172,10.60660172,1
80,40,0,-15,4,5,40,-5.656854249,-9.343145751,40,80.61017306,-95.61017306,1
50,60,-10.60660172,10.60660172,2,2,60,-10.60660172,10.60660172,60,-10.60660172,50.60660172,1
80,70,0,15,3,6,70,0,15,70,9.899494937,24.89949494,1
80,95,0,0,5,8,95,0,0,77,0,0,1
80,60,-10.60660172,10.60660172,2,8,60,-10.60660172,10.60660172,27,-10.60660172,10.60660172,1
30,40,0,-15,4,6,40,0,-15,40,10.60660172,-4.393398282,1
30,95,0,0,5,11,95,0,0,53.28069991,0,-41.71930009,1
30,50,10.60660172,10.60660172,1,6,50,10.60660172,10.60660172,50,31.11269837,31.11269837,1
80,50,35.35533906,35.35533906,6,3,50,35.35533906,35.35533906,50,-24.64466094,35.35533906,1
80,40,0,-15,4,7,40,0,-15,45,0,-15,1
80,50,10.60660172,10.60660172,1,3,50,10.60660172,10.60660172,50,-16.39339828,10.60660172,1
30,40,0,-15,4,1,40,0,-15,40,23,-15,1
80,60,-10.60660172,10.60660172,2,3,60,7.393398282,10.60660172,60,-40.60660172,10.60660172,1
